feature,importance
IBIF_acflow__mean__day_mean,0.05118425447349047
IBIF_cq__mean__day_max,0.0511486686231278
IBIF_oq__iqr__day_std,0.05113605926298355
H1H2all__kurt__day_max,0.05110862515919399
dBcms2__mad__day_std,0.051048771457803774
IBIF_sq__p95__day_std,0.05092177214581817
spectralTiltall__p05__day_max,0.05033351137736993
IBIF_naq__p05__day_max,0.05019352704061617
IBIF_sq__p05__day_mean,0.050147533406365
spectralTiltall__entropy__day_median,0.05008023844046634
spectralTiltall__kurt__day_mean,0.049990311613845664
IBIF_h1h2__skew__day_median,0.0499897735280032
dBcms2__p75__day_mean,0.04958554249849857
IBIF_naq__iqr__day_min,0.0495247546398741
H1H2all__std__day_max,0.049459745376382924
level__median__slope,0.049367169499888494
IBIF_sq__p75__day_max,0.04919628365436657
tilt_extreme_rate__day_min,0.04907741187160845
IBIF_sq__mad__day_min,0.0490059197107819
IBIF_naq__median__day_std,0.048897679469583843
cppall__range__day_max,0.04862530609647494
IBIF_hrf__median__day_max,0.04860727240074415
IBIF_naq__std__day_mean,0.04852972366352928
LHratioall__iqr__day_max,0.04852619321044705
cppall__range__day_std,0.04852247827773921
level__skew__day_std,0.04842851311311833
IBIF_cq__p95__day_median,0.048412800784413554
IBIF_oq__p95__day_max,0.04828452312474848
IBIF_mfdr__p95__day_std,0.04827892464559064
IBIF_naq__p75__day_max,0.048255944324601736
h1h2_skew__day_max,0.04823558123587636
IBIF_oq__iqr__day_median,0.04815956952765206
IBIF_oq__range__day_mean,0.048010995631941375
IBIF_h1h2__std__day_max,0.04793020946339253
IBIF_naq__skew__day_max,0.047905284419996697
dBcms2__kurt__day_min,0.04778874036384875
IBIF_hrf__iqr__day_mean,0.04771892812123511
IBIF_oq__p05__day_mean,0.0476945577233877
IBIF_cq__mad__day_min,0.04750637532098909
IBIF_naq__range__day_max,0.04724594049957982
H1H2all__std__day_min,0.04713312789892609
IBIF_mfdr__p95__day_max,0.04689911606018309
tilt_extreme_rate__day_median,0.046830413061291695
LHratioall__median__day_mean,0.04680644884540042
IBIF_h1h2__kurt__day_max,0.04675241518009429
LHratioall__entropy__day_std,0.04671567521975083
dBcms2__mad__day_mean,0.04653439010414377
IBIF_h1h2__range__day_min,0.04641977753145858
LHratioall__p75__day_median,0.04616879332903068
spectralTiltall__std__day_mean,0.04606026380763575
spectralTiltall__median__day_min,0.045927008305292207
LHratioall__p25__day_median,0.04588702373828279
IBIF_naq__p95__day_max,0.04545888465619559
IBIF_oq__p95__day_median,0.04543259080941788
IBIF_cq__std__day_mean,0.0454018029009245
cppall__p75__day_std,0.045122776177999216
LHratioall__entropy__day_min,0.045106120209524425
IBIF_h1h2__median__day_median,0.04503081852299799
IBIF_h1h2__kurt__day_median,0.04482660380782265
cpp_cv__day_max,0.04479439016699953
tilt_stability,0.04468003372653638
IBIF_cq__iqr__day_median,0.044246170278349775
H1H2all__p25__day_min,0.04422738953684171
IBIF_acflow__median__day_mean,0.0441896673145893
IBIF_acflow__median__day_std,0.04412372613225912
IBIF_acflow__median__day_min,0.0439293698115762
cppall__p75__day_mean,0.04353553241646344
IBIF_naq__kurt__day_median,0.04341430737941003
IBIF_naq__p05__day_min,0.043225925421034574
cppall__median__slope,0.04314810151618575
cppall__p25__day_min,0.04309894873666683
IBIF_hrf__p95__day_std,0.04277735047919319
IBIF_naq__p25__day_std,0.04258816899002719
tilt_range__day_mean,0.04257178247288981
IBIF_oq__mean__day_mean,0.04233307306961314
H1H2all__p95__day_median,0.04231398250777943
IBIF_cq__p75__day_median,0.04230288373067469
cpp_skew__day_min,0.04222834916762693
IBIF_naq__p75__day_mean,0.042156893030858664
dBcms2__p25__day_std,0.04204542270864698
IBIF_oq__median__day_max,0.042027614655624955
IBIF_h1h2__mad__day_mean,0.04194056278830246
IBIF_sq__p95__day_mean,0.04186779173316998
IBIF_hrf__std__day_std,0.041823504839561945
IBIF_h1h2__skew__day_min,0.04178191538753058
IBIF_mfdr__skew__day_median,0.04168014570370686
cpp_day_cv,0.041565987616471255
IBIF_acflow__skew__day_median,0.041546807325487246
level__p05__day_min,0.04144515630032146
IBIF_acflow__median__day_median,0.04143042138991475
IBIF_acflow__kurt__day_median,0.04135153150099609
IBIF_mfdr__median__day_median,0.0412977333188155
H1H2all__mean__day_min,0.041292453795475484
dBcms2__mean__day_mean,0.041210968331766226
H1H2all__range__day_min,0.04121061698328066
IBIF_acflow__std__day_median,0.041194235469162926
IBIF_h1h2__kurt__day_std,0.041146544248768485
spectralTiltall__mad__day_std,0.041128535402490375
IBIF_mfdr__p75__day_median,0.04111281121560899
LHratioall__range__day_mean,0.040878653230331775
dBcms2__entropy__day_median,0.040851438894833815
cpp_low_rate__day_max,0.04083698365224257
LHratioall__median__day_median,0.04076735822284496
H1H2all__skew__day_std,0.040737529845859384
IBIF_oq__iqr__day_max,0.04064157407538404
cppall__skew__day_median,0.04062491475341287
IBIF_naq__skew__day_min,0.04053536284662634
IBIF_acflow__p75__day_max,0.04051464720439013
H1H2all__median__day_min,0.040320901816373905
lh_range__day_max,0.04026238431462376
IBIF_cq__iqr__day_min,0.040251701203402136
IBIF_acflow__range__day_max,0.040122951133232485
H1H2all__p75__day_min,0.04011125343911627
IBIF_h1h2__p75__day_min,0.04003141879353526
cpp_p05_minus_med__day_mean,0.039937505586021334
spectralTiltall__iqr__day_mean,0.03991974052339121
IBIF_h1h2__p95__day_std,0.039879978838657154
IBIF_acflow__skew__day_min,0.03987949496489358
IBIF_acflow__std__day_min,0.0398051232135712
IBIF_sq__mean__day_min,0.03970197581422573
IBIF_hrf__std__day_median,0.039676976999458394
level__range__day_std,0.03966707141007357
lh_range__day_min,0.039586026543421325
spectralTiltall__median__day_std,0.0394433720711619
h1h2_extreme_rate__day_std,0.039417590793150395
H1H2all__mad__day_std,0.03934696746507958
dBcms2__entropy__day_min,0.03897519674857451
IBIF_hrf__skew__day_min,0.038959465170176615
spectralTiltall__entropy__day_mean,0.03867688633299417
LHratioall__skew__day_median,0.03862491587817689
IBIF_cq__skew__day_mean,0.038580256120410224
spectralTiltall__p75__day_min,0.03855728561014764
H1H2all__entropy__day_std,0.038502659055480136
cpp_below_14__day_std,0.03849217971919066
IBIF_h1h2__entropy__day_max,0.03848969463017886
spectralTiltall__mean__day_mean,0.038483860070434694
dBcms2__entropy__day_std,0.03841056402538291
tilt_extreme_rate__day_max,0.03828439187027168
LHratioall__p05__day_mean,0.038093452511585954
IBIF_sq__p75__day_median,0.037922943148346745
IBIF_mfdr__p75__day_min,0.0378257764887274
IBIF_h1h2__skew__day_std,0.037444365753583515
spectralTiltall__p75__day_median,0.03731605233441182
IBIF_mfdr__p25__day_max,0.037184533321348925
IBIF_hrf__kurt__day_std,0.037145460306977546
cpp_range__day_max,0.0371409578183423
IBIF_acflow__skew__day_mean,0.03707805924032115
IBIF_mfdr__kurt__day_max,0.0367443804047169
IBIF_mfdr__kurt__day_mean,0.03658924041985599
IBIF_naq__mad__day_median,0.03655401850455534
IBIF_naq__mad__day_max,0.03641545447061424
IBIF_acflow__skew__day_max,0.036363187319472176
h1h2_extreme_rate__day_min,0.03636210722318435
spectralTiltall__p75__day_std,0.03631862667656511
IBIF_acflow__kurt__day_mean,0.03630304761050104
spectralTiltall__kurt__day_max,0.03628526924629728
cppall__mad__day_mean,0.03625981418614116
IBIF_h1h2__std__day_std,0.036124155550551276
IBIF_sq__mean__day_mean,0.03586269084631281
IBIF_naq__median__day_median,0.03584250611674333
IBIF_sq__mean__day_std,0.03572195556127021
IBIF_mfdr__iqr__day_std,0.03547374883076386
IBIF_naq__median__day_max,0.03539811875667906
IBIF_hrf__iqr__day_median,0.03511443038956585
IBIF_oq__range__day_std,0.034894175123338846
spectralTiltall__range__day_median,0.03477398381469647
LHratioall__kurt__day_min,0.03476989623238526
IBIF_h1h2__p25__day_median,0.0346124553961447
IBIF_h1h2__iqr__day_median,0.034599009931891425
cppall__median__day_median,0.034579733067354734
IBIF_mfdr__p75__day_mean,0.03454513266014046
H1H2all__p75__day_std,0.03450200830258149
LHratioall__p75__day_min,0.034484989736722524
IBIF_mfdr__p05__day_std,0.034344288542354336
tilt_range__day_median,0.03431052989569847
IBIF_hrf__median__day_min,0.034288000104050094
IBIF_acflow__median__day_max,0.034239074335377206
H1H2all__range__day_std,0.03412822480744371
IBIF_oq__iqr__day_min,0.03409063858937937
IBIF_hrf__std__day_min,0.034053335032419044
IBIF_mfdr__p05__day_mean,0.03399348189376393
level__p05__day_std,0.03374018718134557
LHratioall__mad__day_max,0.033587341003133965
spectralTiltall__p75__day_mean,0.03355267476162841
H1H2all__p95__day_std,0.03346555738138768
H1H2all__skew__day_max,0.033422289013919096
IBIF_cq__entropy__day_min,0.03337208184305677
IBIF_cq__entropy__day_mean,0.03336828729616498
dBcms2__range__day_max,0.03314027790425851
IBIF_acflow__mean__day_min,0.03313922074257071
IBIF_h1h2__mad__day_median,0.033019737964024534
dBcms2__iqr__day_mean,0.033011801975055495
IBIF_mfdr__std__day_min,0.03293102507474549
IBIF_cq__kurt__day_max,0.0328861024588151
cppall__kurt__day_median,0.03287710182825386
H1H2all__iqr__day_std,0.03277636091463842
IBIF_mfdr__entropy__day_mean,0.03277527418466572
IBIF_hrf__p05__day_std,0.032691670250574185
IBIF_acflow__mad__day_mean,0.03265939448212483
IBIF_oq__mad__day_min,0.03265844595165007
IBIF_oq__entropy__day_std,0.032605806222807156
IBIF_sq__iqr__day_min,0.032591557035671834
LHratioall__iqr__day_median,0.03253415577662677
IBIF_naq__kurt__day_max,0.03253266894307054
IBIF_hrf__entropy__day_min,0.03251843834946349
spectralTiltall__iqr__day_std,0.032392761023435024
IBIF_sq__range__day_max,0.03232357360104934
level__mean__day_std,0.03231790478724698
h1h2_extreme_rate__day_mean,0.032251178946905545
IBIF_naq__mean__day_mean,0.032234263691318696
IBIF_hrf__p95__day_mean,0.03217891004622399
level__p05__day_max,0.03206769357357464
IBIF_hrf__kurt__day_mean,0.03204849220976659
dBcms2__std__day_max,0.031994540509101235
IBIF_cq__mad__day_max,0.03191533899945725
cpp_cv__day_mean,0.031778850585292236
LHratioall__std__day_mean,0.03168548685617192
dBcms2__p05__day_max,0.03153558716692585
IBIF_mfdr__p75__day_max,0.03140682874771633
IBIF_h1h2__std__day_min,0.03139528650871333
IBIF_hrf__p25__day_std,0.03136764880898461
